City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,arequipa,-16.3989,-71.535,55.47,22,0,4.61,PE,1686624634
301,yantzaza,-3.8278,-78.7594,68.61,99,19,1.48,EC,1686624721
302,kaeo,-35.1,173.7833,63.79,67,4,7.49,NZ,1686624721
303,xai-xai,-25.0519,33.6442,69.01,73,90,2.42,MZ,1686624721
304,polyarnyy,69.1989,33.4478,49.77,65,92,14.14,RU,1686624721
305,tlapehuala,18.2167,-100.5167,90.34,43,5,4.5,MX,1686624721
306,mangrol,21.1167,70.1167,84.63,82,100,31.47,IN,1686624721
307,luderitz,-26.6481,15.1594,54.05,81,0,9.42,NA,1686624567
308,santa maria,-29.6842,-53.8069,36.7,93,0,1.14,BR,1686624423
309,airai,-8.9266,125.4092,71.49,40,100,4.83,TL,1686624721
310,broken hill,-31.95,141.4333,58.23,48,0,19.98,AU,1686624453
311,raahe,64.6833,24.4833,57.29,71,82,19.44,FI,1686624721
312,pedernales,18.0384,-71.744,81.54,62,5,7.34,DO,1686624722
313,kahului,20.8947,-156.47,87.82,64,0,21.85,US,1686624722
314,santa rosa,14.3122,121.1114,92.08,67,82,10.78,PH,1686624722
315,ondangwa,-17.9167,15.95,50.0,25,5,5.75,NA,1686624722
316,jackson,42.4165,-122.8345,87.67,29,0,13.8,US,1686624722
317,channel-port aux basques,47.5702,-59.1367,48.31,77,0,9.73,CA,1686624722
318,sovetskiy,61.3614,63.5842,52.56,41,13,5.64,RU,1686624722
319,namibe,-15.1961,12.1522,60.42,79,4,2.21,AO,1686624722
320,virden,39.5009,-89.7679,62.71,57,17,8.7,US,1686624521
321,broome,42.2506,-75.833,63.45,96,100,10.36,US,1686624722
322,quatre cocos,-20.2078,57.7625,74.08,79,26,8.48,MU,1686624722
323,sabae,35.9465,136.185,76.96,76,95,4.59,JP,1686624723
324,sept-iles,50.2001,-66.3821,63.05,67,100,5.75,CA,1686624610
325,tezu,27.9167,96.1667,83.61,72,83,2.55,IN,1686624723
326,dao,11.3937,122.6856,87.03,61,100,2.98,PH,1686624723
327,sahuaripa,29.05,-109.2333,80.8,18,100,5.37,MX,1686624723
328,estelle,29.8458,-90.1067,84.2,68,40,4.61,US,1686624723
329,balkhash,46.844,74.9804,72.21,23,0,24.61,KZ,1686624723
330,narsaq,60.9167,-46.05,50.22,73,100,5.66,GL,1686624723
331,agirish,61.9247,63.0231,51.73,44,64,7.02,RU,1686624723
332,basco,20.4487,121.9702,81.0,89,100,27.85,PH,1686624723
333,boyolangu,-8.1181,111.8935,81.82,72,99,9.26,ID,1686624723
334,cabra,37.4725,-4.4421,62.64,76,64,1.81,ES,1686624723
335,pahrump,36.2083,-115.9839,81.25,27,45,1.99,US,1686624724
336,pointe-noire,-4.7761,11.8635,73.47,94,20,3.44,CG,1686624724
337,goundam,16.4145,-3.6708,85.35,50,66,10.2,ML,1686624724
338,noumea,-22.2763,166.4572,76.98,99,3,16.22,NC,1686624724
339,belmonte,-15.8631,-38.8828,73.87,88,6,3.98,BR,1686624724
340,nadvoitsy,63.8667,34.3167,56.7,55,86,10.92,RU,1686624724
341,poum,-20.2333,164.0167,74.53,64,7,8.79,NC,1686624724
342,bengkulu,-3.8004,102.2655,83.43,65,18,2.35,ID,1686624724
343,toamasina,-18.1667,49.3833,66.2,100,20,2.3,MG,1686624572
344,chipinge,-20.1883,32.6236,60.03,33,4,5.53,ZW,1686624724
345,nuevo progreso,23.1667,-97.95,83.46,67,0,1.01,MX,1686624725
346,lagoa,39.05,-27.9833,65.46,91,1,13.53,PT,1686624725
347,yar-sale,66.8333,70.8333,42.53,52,20,10.22,RU,1686624725
348,nambour,-26.6333,152.95,75.11,72,17,1.99,AU,1686624518
349,huarmey,-10.0681,-78.1522,69.71,81,13,13.06,PE,1686624725
